address,apartment_number,block,gross_square_feet,lot,neighborhood,sale_date,sale_price,year_built
"254 EAST 7TH STREET, 15-16               ",            ,376,0.0,19,Alphabet City,2010-03-31,995000,1910.0
"206 EAST 7TH STREET, 1920                ",            ,389,0.0,21,Alphabet City,2010-02-12,518950,1900.0
"633 EAST 11 STREET, 10                   ",            ,394,0.0,52,Alphabet City,2010-02-08,400000,1937.0
"633 EAST 11TH STREET, 2                  ",            ,394,0.0,52,Alphabet City,2010-04-30,420000,1937.0
"223-225 EAST 4TH STREET, 3 4             ",            ,400,0.0,47,Alphabet City,2010-04-07,700000,1937.0
"102 AVENUE B, 3                          ",            ,402,0.0,39,Alphabet City,2010-03-26,800000,1900.0
"527 EAST 12TH, A6                        ",            ,406,0.0,50,Alphabet City,2010-01-08,336000,1901.0
"507 EAST 12TH STREET, 3A                 ",            ,406,0.0,61,Alphabet City,2010-01-25,420000,1900.0
"50 AVENUE A, 3B                          ",            ,399,0.0,1002,Alphabet City,2010-04-01,800000,1920.0
"214 AVENUE A, TERR                       ",            ,407,0.0,1003,Alphabet City,2010-02-24,220000,1920.0
"214 AVENUE A, 2E                         ",            ,407,0.0,1003,Alphabet City,2010-04-28,417000,1920.0
"405 WEST 21ST STREET, 2R                 ",            ,719,0.0,36,Chelsea,2010-02-25,615000,1900.0
"411 WEST 22ND STREET, 3FR                ",            ,720,0.0,42,Chelsea,2010-04-30,795000,1900.0
"410 WEST 25TH STREET, 4A                 ",            ,722,0.0,47,Chelsea,2010-01-04,518000,1910.0
"321 WEST 14TH STREET, 1                  ",            ,738,0.0,23,Chelsea,2010-04-06,950000,1900.0
"330 WEST 17TH   STREET, 1E               ",            ,740,0.0,48,Chelsea,2010-04-28,515000,1900.0
"334 WEST 17TH STREET, BE                 ",            ,740,0.0,50,Chelsea,2010-04-26,439000,1900.0
"314 WEST 19TH   STREET, 1A               ",            ,742,0.0,47,Chelsea,2010-02-09,1400000,1920.0
"332 WEST 19TH STREET, PHA                ",            ,742,0.0,56,Chelsea,2010-01-06,1325000,1910.0
"334 WEST 19TH STREET, PH-B               ",            ,742,0.0,57,Chelsea,2010-01-11,1705000,1910.0
"365 WEST 19TH   STREET, 3R               ",            ,743,0.0,6,Chelsea,2010-05-27,800000,1910.0
"329 WEST 19TH STREET, 3                  ",            ,743,0.0,24,Chelsea,2010-03-17,975000,1920.0
"337 WEST 20TH STREET, 4A                 ",            ,744,0.0,18,Chelsea,2010-01-07,517500,1850.0
"326 WEST 22ND STREET, 2F                 ",            ,745,0.0,52,Chelsea,2010-02-25,485000,1920.0
"334 WEST 22ND STREET, 12                 ",            ,745,0.0,56,Chelsea,2010-01-29,536000,1925.0
"347 WEST 22ND STREET, 10                 ",            ,746,0.0,12,Chelsea,2010-02-19,1255000,1910.0
"227 WEST 16TH STREET, 3RW                ",            ,766,0.0,23,Chelsea,2010-01-15,320000,1910.0
"231 WEST 16TH STREET, 5WF                ",            ,766,0.0,23,Chelsea,2010-01-04,935000,1910.0
"229 WEST 16TH STREET, 2C                 ",            ,766,0.0,23,Chelsea,2010-04-27,433250,1910.0
"256 WEST 21ST   STREET, G3               ",            ,770,0.0,70,Chelsea,2010-01-13,2175000,1900.0
"261 WEST 22ND STREET, 22                 ",            ,772,0.0,12,Chelsea,2010-02-19,470000,1917.0
"136 WEST 16TH STREET, 5E                 ",            ,791,0.0,66,Chelsea,2010-05-26,1250000,1910.0
"146 WEST 16TH STREET, 3AB                ",            ,791,0.0,70,Chelsea,2010-03-04,867500,1920.0
