BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASEMENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE
Manhattan,HARLEM-CENTRAL,07 RENTALS - WALKUP APARTMENTS,2B,1953,59,,C1,372 WEST 127 STREET,20,10027,10,0,10,3014,9685,1901,2,C1,2100000,2018-12-10
Manhattan,MANHATTAN VALLEY,07 RENTALS - WALKUP APARTMENTS,2B,1847,59,,C7,2107 FREDRICK DOUGLASS BL,,10026,9,1,10,2375,8605,1900,2,C7,3800000,2018-12-10
Brooklyn,BRIGHTON BEACH,15 CONDOS - 2-10 UNIT RESIDENTIAL,2C,8663,1001,,R1,2934 BRIGHTON 4 STREET,A,11235,1,0,1,0,830,0,2,R1,0,2018-04-09
Brooklyn,CYPRESS HILLS,07 RENTALS - WALKUP APARTMENTS,2A,4119,27,,C3,26 KIELY PLACE,,11208,4,0,4,1618,3160,1901,2,C3,170000,2018-05-07
Brooklyn,CYPRESS HILLS,07 RENTALS - WALKUP APARTMENTS,2A,4119,27,,C3,26 KIELY PLACE,,11208,4,0,4,1618,3160,1901,2,C3,0,2018-06-07
Brooklyn,EAST NEW YORK,02 TWO FAMILY DWELLINGS,1,4168,2,,B9,353 CRESCENT STREET,,11208,2,0,2,2100,2370,1920,1,B9,380000,2018-04-24
Brooklyn,EAST NEW YORK,02 TWO FAMILY DWELLINGS,1,4168,2,,B9,353 CRESCENT STREET,,11208,2,0,2,2100,2370,1920,1,B9,380000,2018-04-24
Brooklyn,FLATBUSH-EAST,02 TWO FAMILY DWELLINGS,1,4984,69,,B1,775 EAST 37 STREET,,11210,2,0,2,2200,2228,1940,1,B1,0,2018-02-15
Queens,ARVERNE,02 TWO FAMILY DWELLINGS,1,16029,111,,B9,620 B 69 STREET,,11692,2,0,2,2725,1644,1960,1,B9,599000,2018-05-11
Queens,ASTORIA,02 TWO FAMILY DWELLINGS,1,855,22,,B1,22-27 27TH STREET,,11105,2,0,2,2000,1664,1920,1,B1,0,2018-07-10
Queens,ASTORIA,02 TWO FAMILY DWELLINGS,1,855,22,,B1,22-27 27TH STREET,,11105,2,0,2,2000,1664,1920,1,B1,0,2018-07-10
Queens,CORONA,03 THREE FAMILY DWELLINGS,1,1998,2,,C0,108-14 42ND AVENUE,,11368,3,0,3,2500,2160,1920,1,C0,1310000,2018-12-18
Queens,CORONA,03 THREE FAMILY DWELLINGS,1,1998,2,,C0,108-14 42ND AVENUE,,11368,3,0,3,2500,2160,1920,1,C0,1310000,2018-12-18
Queens,CORONA,03 THREE FAMILY DWELLINGS,1,1998,2,,C0,108-14 42ND AVENUE,,11368,3,0,3,2500,2160,1920,1,C0,1310000,2018-12-18
Queens,CORONA,03 THREE FAMILY DWELLINGS,1,1998,2,,C0,108-14 42ND AVENUE,,11368,3,0,3,2500,2160,1920,1,C0,1310000,2018-12-18
Queens,CORONA,03 THREE FAMILY DWELLINGS,1,1998,2,,C0,108-14 42ND AVENUE,,11368,3,0,3,2500,2160,1920,1,C0,1310000,2018-12-18
Queens,CORONA,03 THREE FAMILY DWELLINGS,1,1998,2,,C0,108-14 42ND AVENUE,,11368,3,0,3,2500,2160,1920,1,C0,1310000,2018-12-18
Queens,CORONA,03 THREE FAMILY DWELLINGS,1,1998,2,,C0,108-14 42ND AVENUE,,11368,3,0,3,2500,2160,1920,1,C0,1310000,2018-12-18
Queens,CORONA,03 THREE FAMILY DWELLINGS,1,1998,2,,C0,108-14 42ND AVENUE,,11368,3,0,3,2500,2160,1920,1,C0,1310000,2018-12-18
Queens,RICHMOND HILL,01 ONE FAMILY DWELLINGS,1,9608,56,,A1,107-43 128TH STREET,,11419,1,0,1,2500,1327,1920,1,A1,80000,2018-03-23
Queens,SO. JAMAICA-BAISLEY PARK,02 TWO FAMILY DWELLINGS,1,12044,55,,B2,120-33 146TH STREET,,11436,2,0,2,2500,1296,1960,1,B2,420000,2018-08-28
Queens,SOUTH OZONE PARK,02 TWO FAMILY DWELLINGS,1,11780,127,,B3,131-08 135TH PLACE,,11420,2,0,2,2100,812,1920,1,B3,353996,2018-03-22
Bronx,BATHGATE,02 TWO FAMILY DWELLINGS,1,3044,167,,B1,2008 BATHGATE AVE,,10457,2,0,2,2520,2340,1998,1,B1,4000,2018-01-03
Bronx,HUNTS POINT,02 TWO FAMILY DWELLINGS,1,2768,279,,B1,526 BARRETTO STREET,,10474,2,0,2,2500,2640,1935,1,B1,0,2018-06-20
Bronx,KINGSBRIDGE HTS/UNIV HTS,02 TWO FAMILY DWELLINGS,1,3237,90,,B1,2660 KINGSBRIDGE TERRACE,,10463,2,0,2,4219,3013,1901,1,B1,495000,2018-04-26
Bronx,PARKCHESTER,13 CONDOS - ELEVATOR APARTMENTS,2,3944,2759,,R4,2120 EAST TREMONT AVENUE,3H,10462,1,0,1,0,825,0,2,R4,188200,2018-02-12
Bronx,SOUNDVIEW,02 TWO FAMILY DWELLINGS,1,3871,52,,B3,1339 CROES AVENUE,,10472,2,0,2,2500,1976,1925,1,B3,300000,2018-12-14
Bronx,WAKEFIELD,02 TWO FAMILY DWELLINGS,1,5080,48,,B1,662 EAST 240 STREET,,10470,2,0,2,5000,1968,1925,1,B1,75000,2018-09-21
Staten Island,ARDEN HEIGHTS,01 ONE FAMILY DWELLINGS,1,6048,83,,A5,119 BOULDER STREET,,10312,1,0,1,3049,2056,1989,1,A5,0,2018-10-25
Manhattan,HARLEM-CENTRAL,07 RENTALS - WALKUP APARTMENTS,2A,2025,28,,C3,203 WEST 139TH STREET,,10030,4,0,4,1965,4084,1926,2,C3,1800000,2019-09-16
Manhattan,HARLEM-EAST,07 RENTALS - WALKUP APARTMENTS,2,1634,16,,C5,1694 LEXINGTON AVENUE,,10029,11,0,11,1250,3920,1910,2,C5,0,2019-04-09
Manhattan,UPPER WEST SIDE (96-116),13 CONDOS - ELEVATOR APARTMENTS,2,1868,1240,,R4,"275 WEST 96TH STREET, 25F",25F,10025,1,0,1,0,0,,2,R4,1328537,2019-02-13
Brooklyn,BRIGHTON BEACH,15 CONDOS - 2-10 UNIT RESIDENTIAL,2C,8663,1001,,R1,"2934 BRIGHTON 4 STREET, A",A,11235,1,0,1,0,0,,2,R1,0,2019-08-18
Brooklyn,BUSHWICK,02 TWO FAMILY DWELLINGS,1,3381,55,,B9,1113 JEFFERSON AVENUE,,11221,2,0,2,2000,2700,1905,1,B9,0,2019-07-12
Brooklyn,BUSHWICK,02 TWO FAMILY DWELLINGS,1,3415,66,,B1,63 COVERT STREET,,11207,2,0,2,1500,1350,1925,1,B1,15000,2019-06-06
Brooklyn,CYPRESS HILLS,02 TWO FAMILY DWELLINGS,1,3957,39,,B2,198 SHEPHERD AVENUE,,11208,2,0,2,2500,1350,1901,1,B2,500000,2019-07-02
Brooklyn,FLATBUSH-CENTRAL,08 RENTALS - ELEVATOR APARTMENTS,2,5066,68,,D6,271-279 LENOX ROAD,,11226,55,2,57,15680,75871,2016,2,D6,10000000,2019-03-19
Brooklyn,OCEAN PARKWAY-SOUTH,01 ONE FAMILY DWELLINGS,1,7090,65,,A5,1959 EAST 8TH STREET,,11223,1,0,1,1800,1634,1905,1,A5,0,2019-05-28
Queens,CORONA,02 TWO FAMILY DWELLINGS,1,1755,77,,B1,34-49 111TH STREET,,11368,2,0,2,2000,3132,1970,1,B1,192000,2019-10-15
Queens,CORONA,02 TWO FAMILY DWELLINGS,1,2006,1,,B1,108-10 50TH AVENUE,,11368,2,0,2,1500,3252,2018,1,B1,1221900,2019-11-05
Queens,CORONA,02 TWO FAMILY DWELLINGS,1,2006,1,,B1,108-10 50TH AVENUE,,11368,2,0,2,1500,3252,2018,1,B1,1221900,2019-11-05
Queens,CORONA,02 TWO FAMILY DWELLINGS,1,2006,1,,B1,108-10 50TH AVENUE,,11368,2,0,2,1500,3252,2018,1,B1,1221900,2019-11-05
Queens,CORONA,03 THREE FAMILY DWELLINGS,1,2007,51,,C0,5120 111TH STREET,,11368,3,0,3,2000,3240,1970,1,C0,0,2019-04-25
Queens,EAST ELMHURST,03 THREE FAMILY DWELLINGS,1,1691,20,,C0,31-22 105 STREET,,11369,3,0,3,3000,2280,1920,1,C0,300000,2019-06-13
