case_number,borough,auction_date,judgement,upset_price,winning_bid
31424/2020E,Bronx,2024-09-09,55300.0,105156.0,290000
382861/2009E,Bronx,2024-09-09,983184.0,1.550032e6,100
709301/2022,Queens,2024-08-30,26441.26,147521.0,460000
702292/2015,Queens,2024-09-06,343677.0,746259.0,100
712170/2016,Queens,2023-03-03,1.093313e6,769500.0,100
706232/2018,Queens,2024-09-06,3469.0,16376.0,16500
711610/2018,Queens,2024-09-06,721150.0,35505.0,35506
725487/2020,Queens,2024-09-06,12236.0,47000.0,780000
702676/2021,Queens,2024-09-06,376112.0,636657.0,100
726045/2021,Queens,2024-09-06,909946.0,901697.0,922000
714341/2023,Queens,2024-09-06,30953.0,47472.0,250000
719708/2021,Queens,2024-09-13,724965.0,531400.0,100
701533/2014,Queens,2024-09-13,292888.0,329155.0,505000
704596/2016,Queens,2024-09-13,514701.0,616228.0,100
704227/2017,Queens,2024-09-13,2631.0,124000.0,590000
713650/2016,Queens,2024-09-13,1.215184e6,900000.0,100
716226/2022,Queens,2024-09-13,1.040135e6,520900.0,685000
704644/2021,Queens,2024-09-13,1.142258e6,1.11945e6,100
706393/2014,Queens,2018-02-02,890519.0,530637.0,975000
704473/2013,Queens,2024-09-13,1.107632e6,1.40439e6,100
707536/2017,Queens,2022-10-21,565111.0,765000.0,100
715975/2021,Queens,2023-08-25,435447.04,757827.0,100
718598/2021,Queens,2024-01-19,382128.76,373450.0,100
706573/2014,Queens,2022-10-28,673603.12,490000.0,100
707816/2017,Queens,2022-09-29,537939.53,713063.64,820000
718967/2020,Queens,2024-04-05,887188.29,462598.64,100
704716/2021,Queens,2022-05-06,229833.31,374000.0,501000
700443/2015,Queens,2022-05-12,425127.02,597442.57,415000
717415/2019,Queens,2023-08-04,129335.61,280000.0,515000
716705/2023,Queens,2023-01-27,1.19354093e6,723645.83,770000
704688/2015,Queens,2024-03-15,487374.38,462000.0,100
153171/2018,Manhattan,2019-11-20,33260.45,64979.0,665000
810088/2010,Manhattan,2024-09-11,1.645436e6,1.7e6,100
31291/2019E,Bronx,2023-08-14,32119.52,69767.13,50000
710484/2016,Queens,2023-04-21,346584.1,521640.16,100
726242/2021,Queens,2023-02-17,329970.18,468071.48,100
714970/2019,Queens,2023-10-06,654401.57,523600.0,100
24710/2019E,Bronx,2022-10-24,210132.87,578898.55,1110000
135393/2017,Staten Island,2022-10-20,205141.55,265123.03,345000
708606/2014,Queens,2024-12-13,468536.0,738355.0,100
705527/2014,Queens,2022-02-25,435361.0,743795.0,1000000
703897/2015,Queens,2017-07-21,320575.0,325228.0,370000
702945/2016,Queens,2024-02-23,2145.0,26260.0,27000
703734/2014,Queens,2023-06-02,727036.0,825637.0,100
713638/2016,Queens,2023-05-05,311784.0,409500.0,410000
702169/2017,Queens,2022-10-21,753827.0,742242.0,100
717146/2017,Queens,2024-01-12,423950.0,535957.0,100
850370/2014,Manhattan,2024-08-07,0.0,0.0,0
380389/2012E,Bronx,2024-09-16,683114.65,740652.04,635000
809940/2021E,Bronx,2024-09-16,40269.7,78480.64,230000
4836/2014,Brooklyn,2024-09-12,571443.47,815559.37,880000
510443/2016,Brooklyn,2024-09-12,753996.48,849655.04,920000
515819/2017,Brooklyn,2024-09-12,365047.0,274377.0,400000
506827/2018,Brooklyn,2024-09-12,60322.0,230818.0,430000
35272/2018E,Bronx,2024-09-09,327909.0,551704.0,552000
705281/2016,Queens,2023-01-06,861430.0,675000.0,100
709077/2023,Queens,2024-08-30,15848.4,68716.76,585000
850194/2019,Manhattan,2024-08-28,1.32737731e6,892000.0,100
850059/2022,Manhattan,2024-08-28,45365.82,76774.39,100
850089/2022,Manhattan,2024-08-28,2.102134423e7,2.102134423e7,100
850012/2023,Manhattan,2024-08-28,4.10228191e6,4.396532e6,100
850013/2023,Manhattan,2024-08-28,1.487171e6,1.594054e6,100
35581/2014E,Bronx,2024-08-26,829571.0,1.172902e6,100
850026/2022,Manhattan,2024-08-21,5.76124593e7,0.0,22760000
850045/2020,Manhattan,2024-08-21,30036.0,33369.0,100
850198/2021,Manhattan,2024-08-21,9.703521e6,9.4e6,100
35805/2015E,Bronx,2024-08-12,372728.21,500000.0,501000
381069/2012E,Bronx,2024-08-12,403917.0,569500.0,100
381839/2009E,Bronx,2024-08-12,373136.0,496000.0,1000000
850085/2022,Manhattan,2024-07-31,684476.0,550500.0,550500
850086/2022,Manhattan,2024-07-31,863779.0,725000.0,725000
850046/2022,Manhattan,2024-06-12,2.00986189e6,2.363234e6,100
850055/2022,Manhattan,2024-06-12,1.3706921e7,0.0,3000000
850121/2022,Manhattan,2024-06-12,1.50417e6,1.667614e6,100
117054/2008,Manhattan,2024-08-14,,,
705527/2014,Queens,2022-02-25,435361.25,743795.39,1000000
703897/2015,Queens,2017-07-21,320575.52,325228.71,370000
702945/2016,Queens,2024-11-08,,,
705527/2014,Queens,2024-11-22,,,
703897/2015,Queens,2024-11-15,,,
703897/2015,Queens,2024-11-08,,,
703734/2014,Queens,2024-11-08,,,
715975/2021,Queens,2023-06-02,727036.0,825637.0,100
718598/2021,Queens,2024-01-29,382128.0,373450.0,373450
850370/2014,Manhattan,2024-08-07,100.0,100.0,100
706393/2014,Queens,2018-02-02,89519.51,530637.0,975000
707536/2017,Queens,2022-10-21,565111.0,765000.0,100
715975/2021,Queens,2023-08-25,435447.0,757827.0,757827
718598/2021,Queens,2024-01-19,382128.0,373450.0,100
706393/2014,Queens,2018-02-02,890519.0,530637.0,975000
715975/2021,Queens,2023-08-25,435447.0,757827.0,100
712170/2016,Queens,2024-09-06,,,
719708/2021,Queens,2024-09-06,724965.0,531400.0,100
153171/2018,Manhattan,2024-09-04,,,
705281/2016,Queens,2024-08-30,,,
382283/2009E,Bronx,2024-09-23,506167.0,830852.0,100
715975/2021,Queens,2023-08-25,435447.0,757827.0,100
718598/2021,Queens,2024-01-19,382128.0,373450.0,100
850370/2014,Manhattan,2024-08-07,100.0,100.0,100
706393/2014,Queens,2018-02-02,890519.0,530637.0,975000
707536/2017,Queens,2022-10-21,565111.0,765000.0,100
715975/2021,Queens,2024-09-13,435474.0,775528.0,100
715975/2021,Queens,2024-09-20,435474.0,775528.0,100
718598/2021,Queens,2024-01-19,382128.0,373450.0,100
725752/2021,Queens,2024-09-27,115756.0,321915.0,420000
718598/2021,Queens,2024-09-27,,,
707816/2017,Queens,2024-09-27,537939.0,820000.0,827000
718967/2020,Queens,2024-09-27,887108.0,464383.0,100
720432/2019,Queens,2024-09-27,427892.0,478846.0,610000
704716/2021,Queens,2024-09-27,,,
711959/2022,Queens,2024-09-27,4.148927e6,4.68e6,5000000
723360/2022,Queens,2024-09-27,414510.0,457231.0,475000
719526/2022,Queens,2024-09-27,7000.0,16664.0,100
705480/2015,Queens,2024-09-27,480191.0,633250.0,100
709530/2023,Queens,2024-09-27,299926.0,169965.0,275000
714924/2021,Queens,2024-09-27,656353.0,526839.0,100
700443/2015,Queens,2024-09-27,,,
706032/2014,Queens,2024-09-27,675245.0,901852.0,100
707093/2015,Queens,2024-09-27,554323.0,521165.0,545000
706902/2018,Queens,2024-09-27,500556.0,522578.0,100
714340/2018,Queens,2024-09-27,221736.0,260045.0,330000
720103/2021,Queens,2024-09-27,539414.0,560000.0,100
718666/2018,Queens,2024-09-27,449859.0,498576.0,100
712776/2020,Queens,2024-09-27,3.922166e6,950000.0,100
717415/2019,Queens,2024-09-27,129335.0,340000.0,340001
34694/2020E,Bronx,2024-09-23,54009.0,91152.0,190000
24494/2019E,Bronx,2024-09-23,47276.0,104640.0,200000
20257/2020E,Bronx,2024-09-23,75809.0,116685.0,100
31291/2019E,Bronx,2024-09-30,,,
33418/2019E,Bronx,2024-09-23,30609.0,79404.0,100
726700/2021,Queens,2024-09-20,500266.0,470050.0,100
704621/2013,Queens,2024-09-20,1.342554e6,1.19e6,100
718885/2020,Queens,2024-09-20,194848.0,243630.0,244000
712052/2022,Queens,2024-09-20,145389.0,203483.0,960000
20317/2009,Brooklyn,2024-09-19,741136.0,1.115823e6,1220000
506570/2015,Brooklyn,2024-09-19,390332.0,554686.0,576000
510305/2016,Brooklyn,2024-09-19,688264.0,728700.0,860000
517743/2019,Brooklyn,2024-09-19,626727.0,1.003784e6,1170000
511055/2014,Brooklyn,2024-09-12,490163.0,763634.0,100
502205/2015,Brooklyn,2024-09-12,621181.0,892323.0,100
850147/2023,Manhattan,2024-09-11,27193.0,23193.0,100
850199/2022,Manhattan,2024-09-11,41203.0,59486.0,100
850239/2016,Manhattan,2024-09-04,1.228693e6,1.301682e6,100
150206/2019,Manhattan,2024-09-04,214124.0,214624.0,100
150207/2019,Manhattan,2024-09-04,209717.0,210217.0,100
706573/2014,Queens,2024-09-27,1000.0,500000.0,100
27190/2009,Brooklyn,2024-09-26,606491.0,378655.0,765000
532617/2022,Brooklyn,2024-09-26,4560.0,17000.0,17001
705237/2017,Queens,2024-09-20,941529.0,1.127447e6,100
710605/2017,Queens,2024-09-20,2803.0,23284.0,120000
700023/2021,Queens,2024-09-20,1.015907e6,916353.0,100
13370/2014,Brooklyn,2024-09-19,384711.0,600982.0,604000
518307/2020,Brooklyn,2024-09-19,1000.0,86673.0,91000
522350/2020,Brooklyn,2024-09-19,949313.0,627127.0,1070000
150205/2019,Manhattan,2024-09-04,206606.0,207106.0,100
32034/2016E,Bronx,2024-09-30,376946.0,285000.0,360000
523208/2016,Brooklyn,2024-09-26,385648.0,313000.0,600000
517140/2019,Brooklyn,2024-09-26,337264.0,387596.0,485000
517031/2022,Brooklyn,2024-09-26,340202.0,377023.0,900000
700058/2021,Queens,2024-09-20,923579.0,653480.0,100
517525/2021,Brooklyn,2024-09-19,1.695539e6,1.320114e6,100
507714/2023,Brooklyn,2024-09-19,511186.0,592014.0,100
517978/2020,Brooklyn,2024-09-12,735319.0,830801.0,100
159358/2022,Manhattan,2024-10-02,66379.0,133000.0,611000
380790/2007E,Bronx,2024-09-30,560089.0,425000.0,430000
34605/2018E,Bronx,2024-09-30,16824.0,48409.0,205000
717992/2021,Queens,2024-10-04,656176.0,524600.0,100
850207/2019,Manhattan,2024-09-19,62091.0,64043.0,100
850596/2023,Manhattan,2024-09-19,39662.0,42924.0,100
703963/2023,Queens,2024-10-04,358307.0,402354.0,404000
534112/2022,Brooklyn,2024-10-03,210014.0,255338.0,640000
850173/2022,Manhattan,2024-10-02,7.130432e6,0.0,3600000
850084/2022,Manhattan,2024-10-02,1.881618e6,2.188711e6,100
716705/2023,Queens,2024-10-11,,,
704688/2015,Queens,2024-10-11,,,
710484/2016,Queens,2024-10-11,,,
