borough,house_class,period,home_price_index
Bronx,Condo,2003-01-31,100.0
Bronx,Condo,2003-02-28,54.1
Bronx,Condo,2003-03-31,52.3
Bronx,Condo,2003-04-30,63.2
Bronx,Condo,2003-05-31,50.4
Bronx,Condo,2003-06-30,62.7
Bronx,Condo,2003-07-31,67.0
Bronx,Condo,2003-08-31,53.1
Bronx,Condo,2003-10-31,67.5
Bronx,Condo,2003-12-31,51.9
Bronx,Condo,2004-01-31,50.4
Bronx,Condo,2004-02-29,100.0
Bronx,Condo,2004-03-31,73.4
Bronx,Condo,2004-04-30,100.0
Bronx,Condo,2004-05-31,56.7
Bronx,Condo,2004-06-30,71.0
Bronx,Condo,2004-07-31,59.7
Bronx,Condo,2004-08-31,56.9
Bronx,Condo,2004-09-30,59.4
Bronx,Condo,2004-10-31,56.3
Bronx,Condo,2004-11-30,100.0
Bronx,Condo,2004-12-31,63.6
Bronx,Condo,2005-01-31,71.1
Bronx,Condo,2005-02-28,63.8
Bronx,Condo,2005-03-31,74.0
Bronx,Condo,2005-04-30,100.0
Bronx,Condo,2005-05-31,73.1
Bronx,Condo,2005-06-30,64.3
Bronx,Condo,2005-07-31,70.7
Bronx,Condo,2005-08-31,76.9
Bronx,Condo,2005-09-30,62.4
Bronx,Condo,2005-10-31,65.2
Bronx,Condo,2005-11-30,100.0
Bronx,Condo,2005-12-31,100.0
Bronx,Condo,2006-02-28,112.7
Bronx,Condo,2006-03-31,68.4
Bronx,Condo,2006-04-30,58.9
Bronx,Condo,2006-05-31,59.5
Bronx,Condo,2006-06-30,80.5
Bronx,Condo,2006-07-31,71.3
Bronx,Condo,2006-08-31,70.8
Bronx,Condo,2006-09-30,100.0
Bronx,Condo,2006-10-31,90.3
Bronx,Condo,2006-11-30,67.4
Bronx,Condo,2006-12-31,68.3
Bronx,Condo,2007-01-31,83.1
Bronx,Condo,2007-02-28,72.6
Bronx,Condo,2007-03-31,80.2
Bronx,Condo,2007-04-30,77.7
Bronx,Condo,2007-05-31,81.7
Bronx,Condo,2007-06-30,73.1
Bronx,Condo,2007-07-31,70.3
Bronx,Condo,2007-08-31,75.7
Bronx,Condo,2007-09-30,73.3
Bronx,Condo,2007-10-31,80.7
Bronx,Condo,2007-11-30,67.4
Bronx,Condo,2007-12-31,71.3
Bronx,Condo,2008-01-31,61.7
Bronx,Condo,2008-02-29,86.7
Bronx,Condo,2008-03-31,78.7
Bronx,Condo,2008-04-30,64.4
Bronx,Condo,2008-05-31,68.2
Bronx,Condo,2008-06-30,64.6
Bronx,Condo,2008-07-31,68.4
Bronx,Condo,2008-08-31,60.2
Bronx,Condo,2008-09-30,77.3
Bronx,Condo,2008-10-31,85.5
Bronx,Condo,2008-11-30,81.3
Bronx,Condo,2008-12-31,67.2
Bronx,Condo,2009-01-31,70.1
Bronx,Condo,2009-02-28,68.9
Bronx,Condo,2009-03-31,67.7
Bronx,Condo,2009-04-30,62.7
Bronx,Condo,2009-05-31,75.0
Bronx,Condo,2009-06-30,69.1
Bronx,Condo,2009-07-31,71.4
Bronx,Condo,2009-08-31,95.0
Bronx,Condo,2009-09-30,87.4
Bronx,Condo,2009-10-31,87.8
Bronx,Condo,2009-11-30,84.6
Bronx,Condo,2009-12-31,68.3
Bronx,Condo,2010-01-31,80.5
Bronx,Condo,2010-02-28,70.4
Bronx,Condo,2010-03-31,94.6
Bronx,Condo,2010-04-30,71.1
Bronx,Condo,2010-06-30,78.8
Bronx,Condo,2010-07-31,168.3
Bronx,Condo,2010-08-31,75.3
Bronx,Condo,2010-09-30,50.3
Bronx,Condo,2010-11-30,60.6
Bronx,Condo,2010-12-31,67.4
Bronx,Condo,2011-01-31,75.4
Bronx,Condo,2011-02-28,73.1
Bronx,Condo,2011-03-31,100.0
Bronx,Condo,2011-04-30,60.8
Bronx,Condo,2011-05-31,58.0
Bronx,Condo,2011-06-30,70.6
Bronx,Condo,2011-07-31,47.3
Bronx,Condo,2011-08-31,70.3
Bronx,Condo,2011-09-30,63.8
Bronx,Condo,2011-10-31,73.6
Bronx,Condo,2011-11-30,67.0
Bronx,Condo,2011-12-31,61.3
Bronx,Condo,2012-02-29,63.2
Bronx,Condo,2012-03-31,58.3
Bronx,Condo,2012-04-30,73.6
Bronx,Condo,2012-05-31,59.4
Bronx,Condo,2012-06-30,68.3
Bronx,Condo,2012-07-31,70.9
Bronx,Condo,2012-08-31,91.3
Bronx,Condo,2012-09-30,100.0
Bronx,Condo,2012-10-31,72.6
Bronx,Condo,2012-11-30,58.1
Bronx,Condo,2012-12-31,73.0
Bronx,Condo,2013-01-31,85.6
Bronx,Condo,2013-02-28,75.8
Bronx,Condo,2013-03-31,64.5
Bronx,Condo,2013-04-30,101.3
Bronx,Condo,2013-05-31,61.0
Bronx,Condo,2013-06-30,64.5
Bronx,Condo,2013-07-31,72.7
Bronx,Condo,2013-08-31,52.3
