BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASEMENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE
Brooklyn,FLATBUSH-EAST,02 TWO FAMILY DWELLINGS,1,7580,24,,B1,1055 EAST 34TH STREET,,11210,2,0,2,2300,1840,1915,1,B1,0,2018-07-12
Brooklyn,FLATBUSH-EAST,02 TWO FAMILY DWELLINGS,1,7580,24,,B1,1055 EAST 34TH   STREET,,11210,2,0,2,2300,1840,1915,1,B1,1150000,2018-03-26
Brooklyn,FLATBUSH-NORTH,03 THREE FAMILY DWELLINGS,1,4803,45,,C0,564 KINGSTON AVENUE,,11203,3,0,3,1952,2952,1915,1,C0,10,2018-03-17
Brooklyn,FLATBUSH-NORTH,03 THREE FAMILY DWELLINGS,1,4803,45,,C0,564 KINGSTON AVENUE,,11203,3,0,3,1952,2952,1915,1,C0,10,2018-03-24
Brooklyn,FLATBUSH-NORTH,03 THREE FAMILY DWELLINGS,1,4803,45,,C0,564 KINGSTON AVENUE,,11203,3,0,3,1952,2952,1915,1,C0,0,2018-12-14
Manhattan,HARLEM-CENTRAL,07 RENTALS - WALKUP APARTMENTS,2A,2025,28,,C3,203 WEST 139TH STREET,,10030,4,0,4,1965,4084,1926,2,C3,1800000,2019-09-16
Brooklyn,BROWNSVILLE,03 THREE FAMILY DWELLINGS,1,3525,116,,C0,1780 PITKIN AVENUE,,11212,3,0,3,1800,2907,2006,1,C0,0,2019-03-25
Manhattan,HARLEM-CENTRAL,07 RENTALS - WALKUP APARTMENTS,2,1917,27,,C5,107 WEST 132 STREET,,10027,11,0,11,1749,2625,1910,2,C5,420632,2020-03-04
Brooklyn,FLATBUSH-NORTH,07 RENTALS - WALKUP APARTMENTS,2A,4672,7,,C3,1152 LENOX ROAD,,11212,4,0,4,2500,4680,1899,2,C3,545000,2020-09-16
Manhattan,MIDTOWN CBD,13 CONDOS - ELEVATOR APARTMENTS,2,1287,1040,,R4,"641 5 AVENUE, 26H",26H,10022,1,,1,,,,2,R4,0,2021-01-04
Brooklyn,BUSHWICK,14 RENTALS - 4-10 UNIT,2A,3436,5,,S4,631 WILSON AVENUE,,11207,4,1,5,2600,5394,1907,2,S9,0,2021-12-10
Manhattan,HARLEM-UPPER,01 ONE FAMILY DWELLINGS,1,2060,38,,A9,404 WEST 146 STREET,,10031,1,0,1,1998,4730,1901,1,A9,100000,2022-07-20
Brooklyn,CANARSIE,02  TWO FAMILY HOMES,1,8037,36,,B1,AVENUE J,,11236,2,0,2,3000,2440,2003,1,B1,0,2003-09-16
Brooklyn,CANARSIE,02  TWO FAMILY HOMES,1,8255,45,,B2,1440 EAST 91 STREET,,11236,2,0,2,1933,1472,1920,1,B2,100,2003-08-18
Brooklyn,CANARSIE,02  TWO FAMILY HOMES,1,8255,45,,B2,1440 EAST 91 STREET,,11236,2,0,2,1933,1472,1920,1,B2,100,2003-08-18
Brooklyn,EAST NEW YORK,02  TWO FAMILY HOMES,1,3807,10,,B1,561 NEW JERSEY AVENUE,,11207,2,0,2,2683,2000,1910,1,B1,119992,2003-12-30
Brooklyn,EAST NEW YORK,02  TWO FAMILY HOMES,1,4320,57,,B2,719 ALABAMA AVENUE,,11207,2,0,2,2400,2320,1925,1,B2,0,2003-03-24
Brooklyn,FLATBUSH-NORTH,03  THREE FAMILY HOMES,1,4667,24,,C0,396 EAST 93 STREET,,11212,3,0,3,1880,1627,1950,1,C0,278850,2003-09-04
Brooklyn,BEDFORD STUYVESANT,02  TWO FAMILY HOMES,1,1638,40,,B3,976A GATES AVE,,11221,2,0,2,2000,1800,1899,1,B3,499000,2004-08-02
Brooklyn,BEDFORD STUYVESANT,02  TWO FAMILY HOMES,1,1638,40,,B3,976A GATES AVE,,11221,2,0,2,2000,1800,1899,1,B3,320000,2004-08-02
