BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASEMENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE
5,CLOVE LAKES,01 ONE FAMILY DWELLINGS,1,243,11,,A1,45 MELROSE AVENUE,,10301,1,0,1,4000,830,1950,1,A1,0,2023-01-01
5,PRINCES BAY,01 ONE FAMILY DWELLINGS,1,6943,31,,A1,31 TERRACE AVE,,10309,1,0,1,8950,1488,1925,1,A1,0,2023-01-02
5,CASTLETON CORNERS,02 TWO FAMILY DWELLINGS,1,377,401,,B2,167 CHANDLER AVENUE,,10314,2,0,2,3500,2475,1925,1,B2,782500,2023-01-03
5,SUNNYSIDE,21 OFFICE BUILDINGS,4,653,16,,O8,1326 CLOVE ROAD,,10301,1,2,3,4160,3600,1991,4,O8,750000,2023-01-03
5,WILLOWBROOK,01 ONE FAMILY DWELLINGS,1,780,31,,A5,312 KELL AVE,,10314,1,0,1,3212,1570,1975,1,A5,720000,2023-01-03
5,PORT IVORY,02 TWO FAMILY DWELLINGS,1,1263,111,,B9,72 SOUTH AVENUE,,10303,2,0,2,2075,1080,2003,1,B9,904590,2023-01-03
5,WESTERLEIGH,02 TWO FAMILY DWELLINGS,1,1504,164,,B2,322 CASWELL AVENUE,,10314,2,0,2,5440,2548,1970,1,B2,0,2023-01-03
5,NEW SPRINGVILLE,02 TWO FAMILY DWELLINGS,1,2397,112,,B2,152 NOME AVENUE,,10314,2,0,2,4200,2720,1975,1,B2,0,2023-01-03
5,TRAVIS,02 TWO FAMILY DWELLINGS,1,2642,60,,B9,141 ALBERTA AVENUE,,10314,2,0,2,3000,1536,2000,1,B9,720000,2023-01-03
5,STAPLETON-CLIFTON,02 TWO FAMILY DWELLINGS,1,2838,29,,B2,109 NORWOOD AVENUE,,10304,2,0,2,5000,1725,1955,1,B2,0,2023-01-03
5,STAPLETON-CLIFTON,05 TAX CLASS 1 VACANT LAND,1B,2838,32,,V0,N/A NORWOOD AVENUE,,10304,0,0,0,5000,0,,1,V0,0,2023-01-03
5,DONGAN HILLS,02 TWO FAMILY DWELLINGS,1,3189,14,,B2,55 TACOMA STREET,,10304,2,0,2,4000,2112,2022,1,B2,992794,2023-01-03
5,GREAT KILLS,01 ONE FAMILY DWELLINGS,1,5215,41,,A5,25 SCARSDALE STREET,,10308,1,0,1,2430,1216,1960,1,A5,550000,2023-01-03
5,GREAT KILLS,04 TAX CLASS 1 CONDOS,1A,5275,1008,,R3,"31G RUSSELL STREET, G",G,10308,1,,1,,,1985,1,R3,281447,2023-01-03
